UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Tool Wear Failure,Heat Dissipation Failure,Power Failure,Overstrain Failure,Random Failure,install_date,idle_time,cycle_time
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,22-10-2024,22,248.3
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,30-12-2019,81,282.83
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,27-04-2016,103,283.28
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,26-12-2019,18,60.32
5,L47184,L,298.2,308.7,1408,40,9,0,0,0,0,0,0,16-12-2022,12,194.95
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,17-03-2017,21,24.89
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,24-05-2023,18,207.04
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,06-05-2017,78,206.61
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,27-10-2022,105,122.27
10,M14869,M,298.5,309,1741,28,21,0,0,0,0,0,0,29-10-2021,14,205.81
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,04-05-2015,73,286.21
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,22-12-2023,92,211.02
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,14-03-2022,84,68.07
14,M14873,M,298.6,309.2,1742,30,37,0,0,0,0,0,0,09-06-2022,75,57.99
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,08-05-2022,8,287.82
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,09-02-2021,50,133.95
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10-12-2022,35,53.62
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,13-04-2020,43,113.94
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,27-04-2015,42,115.64
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,19-02-2019,114,134.08
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,06-04-2015,101,233.41
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,15-12-2021,24,137.57
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,22-02-2018,83,260.99
24,L47203,L,299,309.4,1758,25.7,68,0,0,0,0,0,0,16-07-2023,94,232.37
25,M14884,M,299,309.4,1561,37.3,70,0,0,0,0,0,0,21-05-2015,106,237.17
26,L47205,L,299,309.5,1861,23.3,73,0,0,0,0,0,0,14-03-2021,37,98.86
27,L47206,L,299.1,309.5,1512,39,75,0,0,0,0,0,0,08-05-2020,17,45.36
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,08-05-2020,66,295.2
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,07-04-2016,59,121.17
30,L47209,L,299,309.4,1693,30.1,84,0,0,0,0,0,0,04-03-2015,6,71.94
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,28-09-2017,112,244.27
32,L47211,L,299,309.4,1798,25.5,89,0,0,0,0,0,0,11-11-2021,66,212.13
33,L47212,L,299,309.4,1419,48.3,91,0,0,0,0,0,0,02-12-2017,5,296.37
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,24-02-2016,51,78.64
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,05-06-2021,116,60.53
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,25-01-2022,52,24.96
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,17-04-2018,13,206.56
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,16-12-2019,107,27.03
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,20-01-2018,44,148.32
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,21-11-2019,107,252.59
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,30-04-2019,117,238.52
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,12-06-2018,21,294.5
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,05-12-2021,76,215.44
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,15-11-2023,57,152.86
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,13-03-2020,39,95.06
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,13-06-2020,20,122.92
47,M14906,M,298.7,309,1843,25.8,130,0,0,0,0,0,0,03-08-2019,25,191.64
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,04-09-2018,3,166.69
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,02-02-2017,30,71.8
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,24-07-2020,16,129.92
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,05-02-2018,19,46.76
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,29-01-2016,41,287.27
